sample	chrom	n_het	median_af	mean_af	sd_af	q25_af	q75_af	median_dp	chr_length	het_per_kb_chrom	chrom_median_het	chrom_mad_het	chrom_median_het_kb	chrom_het_z	chrom_het_flag
Cn1	NC_018792.1	1	0.2	0.2	NA	0.2	0.2	235	NA	NA	1	0	NA	NA	NA
Cn1	NC_026745.1	217	0.3805309734513274	0.41829044049471953	0.18666395253734763	0.2802197802197802	0.5321100917431193	206	2291499	0.0946978375290585	220.5	31.875899999999998	0.09622522200533364	-0.1098008213101434	baseline
Cn1	NC_026746.1	135	0.41	0.4693282390744473	0.2246525345479964	0.2776448697501329	0.6624472573839661	89	1621675	0.08324725977769899	113	6.6716999999999995	0.06968103966577767	3.2975103796633545	het_enriched
Cn1	NC_026747.1	104	0.4140394088669951	0.4273990122989637	0.16506766777133539	0.2922562893081761	0.5308417997097242	201	1575141	0.06602583514745664	104	10.3782	0.06602583514745664	0	baseline
Cn1	NC_026748.1	380	0.48478913696305004	0.4639533188798845	0.16810238050651993	0.3201114922813036	0.5829328078438911	208	1084805	0.3502933706979595	360.5	18.5325	0.3323177898331958	1.0522055847834886	baseline
Cn1	NC_026749.1	321	0.39823008849557523	0.42159888912004534	0.18540056847686284	0.2653061224489796	0.5178571428571429	202	1814975	0.17686194024711085	297	33.3585	0.16363861761181284	0.71945681010836815	baseline
Cn1	NC_026750.1	290	0.4658119658119658	0.42868070251967727	0.1521776670081307	0.297	0.5102935382190701	217	1422463	0.2038717351523379	278	11.8608	0.1954356633529308	1.011736139214893	baseline
Cn1	NC_026751.1	346	0.4104855254160018	0.41947557327128626	0.16277340330843101	0.2783333333333333	0.5248452318229716	208	1399503	0.24723062401438226	343	22.238999999999997	0.24508700588708993	0.13489815189531906	baseline
Cn1	NC_026752.1	317	0.44508670520231214	0.44465805107604073	0.176254790173768	0.30327868852459017	0.5697674418604651	113	1398693	0.22664015620296948	298	14.0847	0.21305604589427415	1.3489815189531904	baseline
Cn1	NC_026753.1	320	0.39425561518584773	0.42370655449059386	0.18411815100372392	0.2757635746606335	0.5122119815668202	206	1186808	0.26963080801612394	318	17.7912	0.26794561546602313	0.11241512657943253	baseline
Cn1	NC_026754.1	135	0.30092592592592593	0.3589275362411147	0.18867916575663732	0.20558176100628933	0.4287941508521047	201	1059964	0.12736281609564098	171.5	24.462899999999998	0.1617979478548328	-1.4920553164179229	baseline
Cn1	NC_026755.1	360	0.3460783866405074	0.40513465706266816	0.19066621371120598	0.2512755102040816	0.5276384535005224	191	1561994	0.2304746369064158	337.5	20.0151	0.2160699720997648	1.1241512657943253	baseline
Cn1	NC_026756.1	338	0.3883426469547995	0.3893614039472197	0.1512398311242734	0.25749858517260893	0.4721673514538559	210	774062	0.4366575287250892	369	25.9455	0.47670600029455	-1.1948122025013972	baseline
Cn1	NC_026757.1	220	0.3892496392496393	0.4104503523274919	0.18970407618086133	0.2405582922824302	0.5223323170731707	200	756744	0.2907191864091423	208	21.4977	0.2748617762413709	0.5581992492220098	baseline
Cn1	NC_026758.1	156	0.4263072365985107	0.4257120495749333	0.1767127672217505	0.2872541306058222	0.5028766348088531	202.5	942867	0.16545281572056292	147	14.0847	0.15590746096745353	0.6389912458199323	baseline
Cn10	NC_018792.1	1	0.2703862660944206	0.2703862660944206	NA	0.2703862660944206	0.2703862660944206	233	NA	NA	1	0	NA	NA	NA
Cn10	NC_026745.1	248	0.35321477428180575	0.3924126504263099	0.17979974377982497	0.24630541871921183	0.511128526645768	197	2291499	0.10822610003320972	220.5	31.875899999999998	0.09622522200533364	0.8627207388654125	baseline
Cn10	NC_026746.1	142	0.4004716981132076	0.466181153428427	0.21422243416496659	0.27507878151260506	0.6666666666666666	112.5	1621675	0.08756378435876486	113	6.6716999999999995	0.06968103966577767	4.346718227738058	het_enriched
Cn10	NC_026747.1	122	0.3694074235913869	0.43725786040476783	0.18930121327689547	0.28835978835978837	0.6071428571428572	188	1575141	0.07745338353836259	104	10.3782	0.06602583514745664	1.7344048100826734	baseline
Cn10	NC_026748.1	390	0.46022067363530783	0.44939962388800864	0.17242711384174436	0.3053885291396855	0.5719269102990032	206	1084805	0.35951161729527426	360.5	18.5325	0.3323177898331958	1.5917981923647646	baseline
Cn10	NC_026749.1	317	0.36764705882352944	0.40408662982657556	0.1772888202550611	0.26108374384236455	0.512396694214876	165	1814975	0.17465805314122784	297	33.3585	0.16363861761181284	0.5995473417569736	baseline
Cn10	NC_026750.1	286	0.4504727499777005	0.43073189825310243	0.14075533526251088	0.34771825396825395	0.5136994792958096	206	1422463	0.2010597112192022	278	11.8608	0.1954356633529308	0.6744907594765952	baseline
Cn10	NC_026751.1	368	0.40915515075376885	0.4218327588463785	0.1699550992643364	0.27577410274454606	0.5282920274708869	194	1399503	0.2629504902811927	343	22.238999999999997	0.24508700588708993	1.1241512657943253	baseline
Cn10	NC_026752.1	323	0.4166666666666667	0.43638886954698014	0.18923043679152354	0.2785947712418301	0.5617378048780488	127	1398693	0.23092987524782066	298	14.0847	0.21305604589427415	1.774975682833145	baseline
Cn10	NC_026753.1	341	0.3894230769230769	0.4127629191124927	0.1807865277609827	0.2636363636363636	0.5045454545454545	192	1186808	0.28732532979218206	318	17.7912	0.26794561546602313	1.292773955663474	baseline
Cn10	NC_026754.1	176	0.3477484214024593	0.37685595854052845	0.1696647243537679	0.24702364199268223	0.46879621413782907	194	1059964	0.16604337505802086	171.5	24.462899999999998	0.1617979478548328	0.1839520253117987	baseline
Cn10	NC_026755.1	348	0.35023805078416725	0.4130333817280217	0.1868731976238365	0.2757703081232493	0.5387471439451638	181.5	1561994	0.22279214900953526	337.5	20.0151	0.2160699720997648	0.5246039240373518	baseline
Cn10	NC_026756.1	293	0.3177570093457944	0.371727797809864	0.18308167304580908	0.23529411764705882	0.4527363184079602	194	774062	0.378522650640388	369	25.9455	0.47670600029455	-2.9292170125840706	baseline
Cn10	NC_026757.1	229	0.375	0.4040835152685545	0.18063147131043214	0.2613065326633166	0.5138888888888888	197	756744	0.3026122440349709	208	21.4977	0.2748617762413709	0.9768486861385173	baseline
Cn10	NC_026758.1	148	0.4375	0.4511643749458948	0.18964055816678532	0.30495283018867925	0.5397727272727273	193	942867	0.15696805594002125	147	14.0847	0.15590746096745353	0.0709990273133258	baseline
Cn100	NC_026745.1	204	0.39300339300339304	0.4139836396019306	0.18212971891514881	0.25386407175200276	0.5254237288135594	215	2291499	0.08902469518860799	220.5	31.875899999999998	0.09622522200533364	-0.5176324433192475	baseline
Cn100	NC_026746.1	105	0.4090909090909091	0.4389229529886647	0.17772928543750133	0.2916666666666667	0.5846153846153846	98	1621675	0.0647478687159881	113	6.6716999999999995	0.06968103966577767	-1.199094683513947	baseline
Cn100	NC_026747.1	97	0.3853211009174312	0.39423589970984996	0.1552232221013616	0.2599118942731278	0.4827586206896552	176	1575141	0.06158178855099321	104	10.3782	0.06602583514745664	-0.6744907594765952	baseline
Cn100	NC_026748.1	361	0.4727272727272727	0.4686237387205465	0.1777367875068058	0.297029702970297	0.614406779661017	223	1084805	0.33277870216306155	360.5	18.5325	0.3323177898331958	0.02697963037906381	baseline
Cn100	NC_026749.1	280	0.443464322240579	0.4549055749876918	0.17114253698562099	0.31468031908560545	0.5675559380378659	168	1814975	0.15427209741181008	297	33.3585	0.16363861761181284	-0.5096152404934274	baseline
Cn100	NC_026750.1	262	0.4411182038300682	0.43491535471351994	0.1483962942443457	0.3373242736644798	0.49946808510638296	228.5	1422463	0.18418756762038802	278	11.8608	0.1954356633529308	-1.3489815189531904	baseline
Cn100	NC_026751.1	354	0.4155418882978723	0.43325722153241086	0.16062041518304065	0.3051277349957218	0.5386970172684459	217	1399503	0.25294693902049514	343	22.238999999999997	0.24508700588708993	0.4946265569495032	baseline
Cn100	NC_026752.1	305	0.4155844155844156	0.4503983245692328	0.18121471355576654	0.30952380952380953	0.5855855855855856	106	1398693	0.2180607181132672	298	14.0847	0.21305604589427415	0.49699319119328067	baseline
Cn100	NC_026753.1	332	0.4267511177347243	0.44121675127013754	0.19116996310494969	0.2794444444444445	0.5332640332640333	218	1186808	0.27974196331672857	318	17.7912	0.26794561546602313	0.7869058860560277	baseline
Cn100	NC_026754.1	123	0.3411764705882353	0.40117042698347094	0.19512706638524346	0.2408880666049954	0.5011100832562442	224	1059964	0.11604167688713957	171.5	24.462899999999998	0.1617979478548328	-1.9825940505827193	baseline
Cn100	NC_026755.1	300	0.3840885142255005	0.443426514398994	0.20346358622330474	0.2727272727272727	0.5926324224021593	183	1561994	0.19206219742201316	337.5	20.0151	0.2160699720997648	-1.873585442990542	baseline
Cn100	NC_026756.1	277	0.42857142857142855	0.4152219107261134	0.15586181486750225	0.28888888888888886	0.5021459227467812	225	774062	0.3578524717658275	369	25.9455	0.47670600029455	-3.5458942783912435	het_depleted
Cn100	NC_026757.1	191	0.4008097165991903	0.42624162054544407	0.18105232920090408	0.2641521043563869	0.5442477876106194	217	756744	0.2523971118370281	208	21.4977	0.2748617762413709	-0.7907822697311806	baseline
Cn100	NC_026758.1	135	0.379746835443038	0.40519436098154804	0.1600469295466626	0.271286231884058	0.501054852320675	221	942867	0.143180321296641	147	14.0847	0.15590746096745353	-0.8519883277599097	baseline
